VENDOR,30d Pos %,30d Neu %,30d Neg %,30d Count,90d Pos %,90d Neu %,90d Neg %,90d Count,365d Pos %,365d Neu %,365d Neg %,365d Count,Li Pos %,Li Neu %,Li Neg %,Li Count,TOTAL PRODUCT
,,,,,,,,,,,,,,,,,
SanDisk Ultra MicroSDHC 16GB UHS-I Class 10 Memory Card (SDSQUNB-016G-GN3MN),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cloudtail,89,5,7,47002,90,4,6,127491,91,3,6,453239,92,3,5,553648,101636
Das Tradelink,0,100,0,1,0,100,0,1,0,100,0,1,0,100,0,1,5
OdishaSales,-,-,-,0,33,0,67,3,66,0,34,38,66,0,34,38,11
BMcenter,100,0,0,69,100,0,0,116,100,0,0,116,98,0,2,135,214
TigeRetaiL,92,5,4,1255,96,2,1,6366,98,1,0,22841,98,1,0,22841,479
Softek Surya,89,3,8,334,86,4,10,787,86,5,9,2413,85,5,10,2644,247
McLovin Tech,67,0,33,3,67,0,33,3,67,0,33,3,67,0,33,3,4
Tecki-Home,89,4,6,245,89,4,7,779,92,4,4,3189,92,5,3,7894,225
venkys,-,-,-,0,0,0,100,1,0,0,100,1,0,0,100,1,58
Trade Plus,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,10
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Samsung Evo 16GB Class 10 micro SDHC Card (MB-MP16D/IN),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cloudtail,89,5,7,47002,90,4,6,127491,91,3,6,453239,92,3,5,553648,101622
Threestar,100,0,0,1,100,0,0,1,100,0,0,1,100,0,0,1,94
E_Deals,85,7,9,46,85,6,9,47,85,6,9,47,85,6,9,47,
A&amp;V; STORE,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,12
OM SUPER DEAL IT,90,4,6,334,88,3,8,803,87,3,9,1047,87,3,9,1050,35
Sky Enterprises,20,0,80,5,20,0,80,5,20,0,80,5,20,0,80,5,63
AYUSHEP,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,42
jksecurity,78,0,22,9,82,0,18,11,92,3,5,97,92,3,5,111,49
ASTHA ELECTRONICS SYSTEMS,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,13
SUPER KART,100,0,0,3,100,0,0,4,100,0,0,4,100,0,0,4,411
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SanDisk Cruzer Blade SDCZ50-016G-I35 16 GB USB 2.0 Pen Drive,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cloudtail,89,5,7,48789,90,4,6,131964,91,3,6,454456,92,3,5,553662,101609
Dheeraj Sud,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,1
